		지역번호,지역명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온관측지점,평균최저기온(℃),최저기온(℃),최저기온관측지점일교차,,,
0,전국,2019-03-31,5.4,9.2,13.8,거제,2.3,-3.8,대관령,17.6,,
0,전국,2019-03-30,7.2,12.2,21.1,서귀포,3.7,-2.8,대관령,23.9,,
0,전국,2019-03-29,10.6,17,21,합천,5,-1.3,대관령,22.3,,
0,전국,2019-03-28,10.6,16.1,22.5,산청,6.6,-1,대관령,23.5,,
0,전국,2019-03-27,12.8,19.9,25.1,의성,4.8,-1.9,봉화,27,,
0,전국,2019-03-26,10.5,18.7,21.9,서귀포,3.2,-2.6,장수,24.5,,
0,전국,2019-03-25,7.2,13.8,18,울진,0.4,-4.9,장수,22.9,,
0,전국,2019-03-24,4.7,11.3,14.2,의령군,경주시,합천,-2.1,-6.4,제천,20.6
0,전국,2019-03-23,4.2,10.3,14.3,양산시,-0.3,-7,대관령,21.3,,
0,전국,2019-03-22,5.2,10.5,16.4,양산시,1.6,-5.4,대관령,21.8,,
0,전국,2019-03-21,9.8,15,22.7,양산시,4.5,-1.5,대관령,24.2,,
0,전국,2019-03-20,11.4,17.2,21.5,강릉,5.3,-0.4,철원,21.9,,
0,전국,2019-03-19,10.7,19,23.3,양산시,2.2,-3.1,철원,26.4,,
0,전국,2019-03-18,7.5,15,18.7,속초,-0.7,-5.9,봉화,24.6,,
0,전국,2019-03-17,6.6,13.1,17.5,서귀포,1.1,-4.6,대관령,22.1,,
0,전국,2019-03-16,5.8,11.1,14.4,김해시,1.4,-7.6,태백,22,,
0,전국,2019-03-15,5.8,12.3,16.4,성산,1,-3.9,봉화,20.3,,
0,전국,2019-03-14,5.2,11.8,14.5,합천,-2.4,-8,봉화,22.5,,
0,전국,2019-03-13,3.9,9.4,12.8,고산,-1.5,-7.5,대관령,제천,20.3,
0,전국,2019-03-12,5.8,11.9,16.5,경주시,0.9,-5.5,대관령,22,,
0,전국,2019-03-11,6.4,11.9,16.6,울산,0.7,-5.4,대관령,22,,
0,전국,2019-03-10,7.8,11.9,16.1,수원,3.8,-0.9,철원,17,,
0,전국,2019-03-09,7.9,16.1,18.9,경주시,-1,-6.3,철원,25.2,,
0,전국,2019-03-08,6.1,14.5,17.7,합천,-1.3,-8,대관령,25.7,,
0,전국,2019-03-07,6.5,12.1,14.9,진주,2.1,-4.5,대관령,19.4,,
0,전국,2019-03-06,8.8,14.3,17.6,의성,4.7,-2,철원,19.6,,
0,전국,2019-03-05,8.2,14.4,17.4,경주시,1.2,-3.5,장수,봉화,20.9,
0,전국,2019-03-04,8.8,15.2,18.2,양산시,3.9,-2.3,대관령,20.5,,
0,전국,2019-03-03,8.7,14.8,17,김해시,2.4,-6.2,대관령,23.2,,
0,전국,2019-03-02,6.9,14.6,17.2,전주,-0.8,-7.7,대관령,24.9,,
0,전국,2019-03-01,6,13.7,16.8,양산시,-0.3,-6.1,대관령,22.9,,
0,전국,2019-02-28,6.8,13.4,16.5,부산,1.4,-4.5,파주,대관령,21,
0,전국,2019-02-27,7.1,11.8,15.2,영천,3.4,-2.1,대관령,17.3,,
0,전국,2019-02-26,5.4,12.8,17.8,서귀포,-1.5,-7.9,대관령,25.7,,
0,전국,2019-02-25,6,12.8,17.7,양산시,0.8,-4.8,대관령,22.5,,
0,전국,2019-02-24,6.1,14.3,16.6,합천,-1.5,-7.3,대관령,23.9,,
0,전국,2019-02-23,5,13.2,15.7,김해시,-1.3,-6.9,대관령,22.6,,
0,전국,2019-02-22,3.9,11.1,14.7,양산시,-1.5,-9.6,대관령,24.3,,
0,전국,2019-02-21,2.7,9.4,12.8,김해시,-2.7,-14.2,대관령,27,,
0,전국,2019-02-20,2.8,7,12.9,서귀포,-0.5,-8.7,대관령,21.6,,
0,전국,2019-02-19,2.9,5.7,17.6,서귀포,0.6,-2.8,대관령,20.4,,
0,전국,2019-02-18,2.2,7.5,11.4,경주시,-4.4,-12,철원,대관령,23.4,
0,전국,2019-02-17,-0.2,6.3,10.2,서귀포,-5.7,-13.5,철원,23.7,,
0,전국,2019-02-16,-0.3,3.3,8.6,서귀포,-3.5,-11.1,철원,19.7,,
0,전국,2019-02-15,2,6,12.7,의령군,-1.5,-7.5,대관령,해남,20.2,
0,전국,2019-02-14,0.6,6.5,11.3,부산,-3.7,-12.9,대관령,24.2,,
0,전국,2019-02-13,0.3,5.3,12,서귀포,-4.1,-12.9,대관령,24.9,,
0,전국,2019-02-12,0.1,6,11.6,완도,-6,-11.8,봉화,23.4,,
0,전국,2019-02-11,-0.8,3.9,8.1,서귀포,-4.7,-12.7,철원,20.8,,
0,전국,2019-02-10,-1.4,3.2,9.7,부산,-6.3,-16.6,대관령,26.3,,
0,전국,2019-02-09,-1.7,1.7,8.3,서귀포,-4.2,-13.3,대관령,21.6,,
0,전국,2019-02-08,-2,3.2,10.1,서귀포,-5.9,-14.6,대관령,24.7,,
0,전국,2019-02-07,2.1,7.4,14.1,양산시,-3.9,-9.5,철원,23.6,,
0,전국,2019-02-06,5.6,12.9,16.9,고산,김해시,-1.2,-6.2,철원,23.1,
0,전국,2019-02-05,2.9,11,14.3,고산,-4.1,-8.4,봉화,22.7,,
0,전국,2019-02-04,2.5,6.8,12.7,서귀포,-1.5,-7.3,대관령,20,,
0,전국,2019-02-03,5.6,9.8,18.4,제주,2.6,-1.6,대관령,20,,
0,전국,2019-02-02,2.1,8.5,13.8,고산,-4.8,-13.3,장수,27.1,,
0,전국,2019-02-01,-1.3,4.1,8.7,서귀포,-6.7,-15.2,철원,23.9,,
0,전국,2019-01-31,0.3,4.7,9.1,양산시,-3.8,-10.9,철원,20,,
0,전국,2019-01-30,3.5,10.1,15.3,울진,-3.1,-10.7,철원,26,,
0,전국,2019-01-29,0,8.1,11.6,김해시,-6.5,-17.4,대관령,29,,
0,전국,2019-01-28,2.6,7.2,11.9,서귀포,-2.6,-10.9,대관령,22.8,,
0,전국,2019-01-27,-0.2,7.1,12.4,울진,-7.8,-17.5,대관령,29.9,,
0,전국,2019-01-26,-1.8,3.7,7.8,서귀포,-6.2,-17,대관령,24.8,,
0,전국,2019-01-25,-0.4,5.5,13.1,서귀포,-5.1,-13.3,철원,26.4,,
0,전국,2019-01-24,0.7,8.2,13.8,서귀포,-5.2,-14.8,대관령,28.6,,
0,전국,2019-01-23,3.1,9.6,14.6,서귀포,-2.2,-9,파주,23.6,,
0,전국,2019-01-22,2.6,9,13.1,서귀포,-3.2,-12.3,철원,25.4,,
0,전국,2019-01-21,0.5,6.2,10.2,서귀포,-5.5,-13.6,철원,23.8,,
0,전국,2019-01-20,1.6,5.5,12.2,서귀포,-2.8,-10,철원,22.2,,
0,전국,2019-01-19,2.9,9.3,14.2,경주시,-2.7,-9.1,해남,23.3,,
0,전국,2019-01-18,0.8,8.1,11.9,성산,-5.1,-13.7,철원,25.6,,
0,전국,2019-01-17,0.4,5.4,9.1,서귀포,-4,-10.6,파주,19.7,,
0,전국,2019-01-16,-3.2,1.7,7.6,서귀포,-7.9,-16.4,철원,대관령,24,
0,전국,2019-01-15,0.9,6.1,12.6,서귀포,-3.9,-10.9,대관령,23.5,,
0,전국,2019-01-14,1,7.5,13.5,부산,-4.1,-12.9,대관령,26.4,,
0,전국,2019-01-13,1.3,8.2,12.6,통영,-3.2,-12.9,대관령,25.5,,
0,전국,2019-01-12,3,7.5,14.7,서귀포,-0.3,-7.3,철원,22,,
0,전국,2019-01-11,2.1,8.1,12.2,부산,-3.4,-13.3,대관령,25.5,,
0,전국,2019-01-10,0.5,5.1,11.8,서귀포,-3.4,-11.1,봉화,22.9,,
0,전국,2019-01-09,-2.9,2.9,7.6,부산,-8,-20.1,대관령,27.7,,
0,전국,2019-01-08,-0.7,4.2,12.1,서귀포,-4.8,-13.5,철원,25.6,,
0,전국,2019-01-07,-0.5,5.5,12.8,서귀포,-6.3,-15.2,철원,28,,
0,전국,2019-01-06,-1.3,5.7,12.3,서귀포,-6.1,-15.8,대관령,28.1,,
0,전국,2019-01-05,0.2,5.3,13.2,서귀포,-4.6,-13.5,대관령,26.7,,
0,전국,2019-01-04,-0.7,5.3,11.8,서귀포,-7.3,-14.3,제천,26.1,,
0,전국,2019-01-03,-2.1,5,10.6,서귀포,-7.7,-16.8,철원,27.4,,
0,전국,2019-01-02,-2.5,3.2,8.4,서귀포,-7,-16.6,철원,25,,
0,전국,2019-01-01,-2.1,2.1,7,제주,서귀포,-5.8,-16.5,철원,23.5,
		,,,,,,,,,,,,
	,,,,,,,,,,,,
	,,,,,,,,,,,,
	,,,,,,,,,,,,
	,,,,,,,,,,,,
	,,,,,,,,,,,,
